LSOA,Total of possible sessions,Total sessions attended,Total sessions missed,Attendance
E01011875,3026,2820,206,0.93
E01011876,749,730,19,0.98
E01011877,580,572,8,0.99
E01011878,752,729,23,0.97
E01011879,374,365,9,0.98
E01011880,752,723,29,0.96
E01011881,1868,1828,40,0.98
E01011883,372,361,11,0.97
E01011884,1122,1031,91,0.92
E01011885,1492,1431,61,0.96
E01011886,2492,2430,62,0.98
E01011887,1606,1574,32,0.98
E01011889,484,478,6,0.99
E01011892,242,232,10,0.96
E01011893,378,302,76,0.80
E01011894,2994,2839,155,0.95
E01011895,378,369,9,0.98
E01011896,372,340,32,0.91
E01011897,702,654,48,0.93
E01011903,744,722,22,0.97
E01011907,376,343,33,0.91
E01011908,856,833,23,0.97
E01011921,484,475,9,0.98
E01011924,744,716,28,0.96
E01011926,746,701,45,0.94
E01011927,372,362,10,0.97
E01027680,374,370,4,0.99
E01027684,4487,4351,136,0.97
E01027697,472,469,3,0.99
E01027698,374,352,22,0.94
E01027699,376,354,22,0.94
E01027703,7109,6929,180,0.98
E01027704,744,735,9,0.99
E01027717,376,367,9,0.98
E01027724,748,715,33,0.96
E01027725,1866,1790,76,0.96
E01027730,376,372,4,0.99
E01027732,372,369,3,0.99
E01027733,374,364,10,0.97
E01027734,1492,1461,31,0.98
E01027735,6141,6035,106,0.98
E01027875,748,738,10,0.99
E01027891,2250,2160,90,0.96
E01027892,1122,1057,65,0.94
E01027898,2260,1965,295,0.87
E01027899,373,348,25,0.93
E01027904,376,366,10,0.97
E01027914,1867,1791,76,0.96
E01027915,786,768,18,0.98
E01027917,748,711,37,0.95
E01027918,1866,1808,58,0.97
E01027920,748,735,13,0.98
E01027921,1864,1742,122,0.94
E01027922,15255,14811,444,0.97
E01027923,373,333,40,0.89
No postcode/not aligned to an LSOA,100515,93898,6617,0.93
